candidate_id,epsilon,embedding_precision,block_size,source_row_or_combination,combination_coefficients,recovered_p,recovered_q,recovery_valid,raw_bkz_pmf_valid,pmf_is_fixed_q_normalized,normalization_preserved_q,linf_norm_lower,linf_norm_upper,l2_norm,input_basis_hash,output_basis_hash,run_id,sd_lower,sd_upper,renyi_lower,renyi_upper,log2_renyi_minus_one_lower,log2_renyi_minus_one_upper,feasible,rejection_reason
10,0.00390625000000000000000000000000,128,15,row10,,1132585933081450857162679135579544924589199191 973982839304811954131732430894130508627053026 619429280063609221257841813038087903479745238 291334850226439579489304497353965012678491524 101333590602279234638418628242059280212525680 26066018991337116082614158800826656174134212 4958567924089095647951474722290380525752070 697586567892408709645616752809720119118886 72577204472014329791909349429644939405752 5584221623284404717237909597599554477569 317749839198386836813598328813014600959 13371136317916612720461630274467363537 416113280660502187644109781394537336 9576683198540319916309492838750552 162996751300217186271970693375644 2051648984618882821505149316769 19097980880359938109804096814 131471655714778122872061838 669325072934026676185732,3150467159734835313647595641479863727810192329,true,false,false,true,,,7.056748953299951e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
11,0.00390625000000000000000000000000,128,15,row11,,868571913630898485027766921490358873388464013 746940354695185389280830381501210615941464086 475035809141703990710589812728707653388304776 223422577464019998503418965340156877251414416 77711993530633050250482337691912975192903118 19989840359792665378502986251297009301886921 3802689672276836628577180812351225959306359 534974064660174464525528662142491465193494 55658930181772814025982431593816509638981 4282498943174111010954243107915785574944 243680040363529029785538613213750839611 10254227180338132045107657050560787677 319114248123485565124789907826382138 7344288684004731312805862882014945 125001022931006014703464884271151 1573394682574746863690262650195 14646102618111543475054574528 100824656440612202339494337 513300529751184433351565,2416070348249148207009437334080179506178517255,true,false,false,true,,,7.60950994449609e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
12,0.00390625000000000000000000000000,128,15,row12,,213000639502721513905835310938809373464266815 183172827400534035855654321559114029744982894 116493441183125359872535395147044207284554398 54790111368263409775631514014601647498745670 19057379198298949772079134614507738019909981 4902125792203007496776873228319588383315335 932536868063594175250266345522011503620670 131192151279267213643043824216731099663647 13649287453005197979402025810103691421271 1050200909390037486618406094819959362123 59757866466699259957794615602063306075 2514652975466085812880917501231199200 78256662295918109567737184942208861 1801046248256166470058941794959689 30654108663837264579430764903961 385844935024019846543608528109 3591676376961385153062394270 24725317457845799865720930 125877131620617259214587,592495015305459727582518359652647025242278486,true,false,false,true,,,6.424652713956396e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
13,0.00390625000000000000000000000000,128,15,row13,,476333770370497592840856719351047148748363796 409629772515335362718692405994650084322003798 260514523297865069052809942392804870375103995 122527239298410243126576297338340967674204573 42618056490811821329864375655058102513360281 10962634041296791557775159483782031619217942 2085434125509052944076428040433356858455857 293385279066599228890209036285940663563441 30523929742838263305779459895315013078512 2348566464326930854492168242541668684724 133636640292884612002479836681408618204 5623523646565608263488066747397940728 175005535640887846945764600025885914 4027683447553863346470905961971029 68551846563850225297315461755427 862865825696277932309551367253 8032073305426887167230275547 55293278535685781838359833 281499289618357689657184,1324997827354266279332401414936100226021868038,true,false,false,true,,,7.790417719234116e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
14,0.00390625000000000000000000000000,128,15,row14,,772309293171430272535234338475682439368245268 664157991206929318011266931626649610867187742 422388249299587652599458949007341692752222964 198660963095684986392132210120748670951242010 69099281075867970605587993137983782606542832 17774394079062702214163276689933672884445922 3381242850312154328210908329598706121353269 475683631094617600705491614432761366755599 49490328149880637464063528655968048740652 3807875525221838380694918382439195112465 216673319479585606521856360121046205306 9117765404778667808646797330369002875 283747258622402449740810112451615552 6530331355845548393172767571350385 111147332938715827962437664731045 1399017532237830499100814423950 13022895379410956769234781978 89650399613303180239615300 456412143997923906095169,2148300622695119810568600330913269487459670283,true,false,false,true,,,7.230231023049043e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
15,0.00390625000000000000000000000000,128,15,row15,,91559829919527301394241098972156643351325290 78738134128735982377362121626030348957520078 50075528817044391966359193061081626846266258 23551916510025596459637985503329621542412569 8191949104856536801453929629448550512995773 2107213409434390876060294738156323765359445 400857561897134182658180879597692162603354 56393873210662944729076473421128072124540 5867242655409615041300060346909001186898 451436281457061750248811625915255664401 25687341140470611916852389599410911989 1080941349649639337752164722681356559 33639179237265142168909836397723174 774192455724671056704963616507193 13176885206299050424681964327457 165858171640179205099978778456 1543907468861691774218588988 10628352414490076558245940 54109174455292700676501,254688168806378069790502367265630806994574863,true,false,false,true,,,7.226224065973278e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
16,0.00390625000000000000000000000000,128,15,row16,,908437309241997284934784961158153677743082308 781223149557087700364849244851788506375751098 496838828746272946424168494281729407500445958 233677145104621258999812087160203941729088237 81278790150702378406662579489342067998391687 20907326732123707373964957272150828437031470 3977224130267584726327814373129438853114822 559528108366471810243208118036508358906489 58213543376334170830201932061150047103577 4479055511368990244754549343776113004326 254864377617782872050946065571306398034 10724871944248812084425752568574011879 333760837020656805044840764383371605 7681374156462667081586907605942725 130738274104723123548193267873491 1645609775520863243937168784263 15318324072511327952948158314 105452269598808548379040685 536859809489319418359838,2526962260301151208718885356590603066207860806,true,false,false,true,,,6.995278400897822e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
17,0.00390625000000000000000000000000,128,15,row17,,574894835291259074552612997240885476733849652 494388714907678743774270376157345214045286589 314419139012158385372363394722022841933430133 147880082070106069477336977426506194888741029 51436413058981246510206769493166406558740481 13230978115676373882488885419829019062723694 2516943753878244438977248188687804893631263 354091379149294073673905532585108188745780 36839818323823447020772043973034741460026 2834522376252311225634541632112216992499 161288195565681279869156485565826128476 6787120505930587626755799699763447473 211216976090255803545432763753341450 4861075481559478789781921324374210 82736318503268690733594754002089 1041406546414459225196961825991 9694037557696342966005740781 66734340989012548072842930 339745988645476697101326,1599161040221065418510021066838092946422405872,true,false,false,true,,,6.585250278547624e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
18,0.00390625000000000000000000000000,128,15,row18,,292548346343403722922439204407175387238639483 251580971194160482613483777128644238455816199 159999348628906102826410951706391520546067644 75252151891081932021909889123110150481381051 26174591696614620820973820522354422533122471 6732884921962941556064144708273059310372445 1280804223373120926876873297806849534205978 180187472674197759384028338207774502101354 18746781617486270026036616586630651981817 1442411347156864733967429701446426938817 82075176190348656982869956301706210441 3453781037078640621477106554889209474 107482574693079826925723604372022992 2473669106559657756572716158804109 42102262317958979233684974862520 529943468478707619170083110500 4933032065696194571348948496 33959291164550981810974668 172887493596431378759456,813769561204097872982190464348805496403529915,true,false,false,true,,,6.883631159626769e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
19,0.00390625000000000000000000000000,128,15,row19,,26395787189645099808109755280383119216276896048 22699419974879054032549623658890169932020973014 14436276293057452285150191758479572464295394540 6789782993844754040880229007227776681608019569 2361657349410169903892051209612165632306579461 607488641770991926962534922872849423721598132 115563243253033870583719715537241042781024593 16257792062051615124974735367094777513628479 1691467630054767250665521480613580154950650 130144584426362698325845084973005448962067 7405404649698570025034876666141819161496 311624626814148840150675346181596680420 9697840386571163857388125342820112563 223191975379355924539908463842131635 3798764786190072187049679163847284 47815259225859456038522116546294 445093148648208295726882826646 3064048161251533047634668673 15599136162491690108363805,73424062817091244516089668499681030552112365370,true,false,false,true,,,3.268425070339844e+47,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
