parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3261981597870568207163691659439329848963155303,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,656131407880387199198618983713174266102589650,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,9054997617049109669613686324077367161065362338,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,6449147427058928661648613648351211578204796685,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3843297237068747653683540972625055995344231032,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1237447047078566645718468296898900412483665379,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1368403142911614362246604378827255170376900274,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,7030463066257108108168462961536937724585872414,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,4424612876266927100203390285810782141725306761,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1818762686276746092238317610084626558864741108,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,787087503713434915726755065641529023995824545,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3392937693703615923691827741367684606856390198,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,5005928515465106546723239598996508288106382490,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,2400078325474925538758166923270352705245816837,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,205771864515255469206905752455802877614748816,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,2811622054505436477171978428181958460475314469,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,5417472244495617485137051103908114043335880122,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,12273455917818703189591376092719685049680773962,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,9667605727828522181626303416993529466820208309,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,7061755537838341173661230741267373883959642656,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,4455905347848160165696158065541218301099077003,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1850055157857979157731085389815062718238511350,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,10248921367026701628146152730179255613201284038,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,7643071177036520620181080054453100030340718385,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,5037220987046339612216007378726944447480152732,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,2431370797056158604250934703000788864619587079,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,174479392934022403714137972725366718240978574,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,8224386816234700066700929367638826176721794114,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,5618536626244519058735856691912670593861228461,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3012686436254338050770784016186515011000662808,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,406836246264157042805711340460359428140097155,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,2199013943726023965159361335265796154720468498,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,6199852265442698505255706005098396740242304190,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3594002075452517497290633329372241157381738537,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,988151885462336489325560653646085574521172884,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1617698304527844518639512022080070008339392769,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
