parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,2019,11,2048,29,0.014160156250000000000000000000000000000000000000000,0.98583984375000000000000000000000000000000000000000,1.0143635463100544824170381376919266963843486874690,0.00042552816152464139852019480117543437762598053848621,1.0082659662370389305803337188487244162155255148046,-6.9186008137340495294161567651434207389101366289244,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,2457,12,4096,1639,0.40014648437500000000000000000000000000000000000000,0.59985351562500000000000000000000000000000000000000,1.6670736670736670736670736670736670736670736670737,0.00040492078553740430279400767242447479171524243084645,1.8102968917935298401590669130986430341624883529414,-0.30347748832236331556305169305043687622225052520570,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,2574,12,4096,1522,0.37158203125000000000000000000000000000000000000000,0.62841796875000000000000000000000000000000000000000,1.5912975912975912975912975912975912975912975912976,0.00033924276107721995284396225487017075051519478579210,1.7278536705496127104328044778570639236398208235904,-0.45827965818852148906696421234584328976852849126400,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,2614,12,4096,1482,0.36181640625000000000000000000000000000000000000000,0.63818359375000000000000000000000000000000000000000,1.5669472073450650344299923488905891354246365723030,0.00037022735002121229152687894807694863763347848322764,1.0078182528199614898413677700727455816931165517053,-6.9989380466443414840739908147639020402176146088617,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,3169,12,4096,927,0.22631835937500000000000000000000000000000000000000,0.77368164062500000000000000000000000000000000000000,1.2925213000946670874092773745661091827074786999053,0.00021095609002729089212987925703655705415021408775409,1.4028681953129300984794499689430613914434790764596,-1.3116201793870863888902737560247826331217105490540,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,3286,12,4096,810,0.19775390625000000000000000000000000000000000000000,0.80224609375000000000000000000000000000000000000000,1.2465003043213633597078514911746804625684723067559,0.00025194661341434427708759399961798710719254211936831,1.3528224348542745575056229285847764822690424682577,-1.5029857946950552346290348385310110544752687226941,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,3647,12,4096,449,0.10961914062500000000000000000000000000000000000000,0.89038085937500000000000000000000000000000000000000,1.1231148889498217713188922401974225390732108582396,0.00026430644146816579977431463353757793936733442075034,1.2186645504816644708661709588903502982596145735814,-2.1932087427669036690432858753983635556923114526327,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,3881,12,4096,215,0.052490234375000000000000000000000000000000000000000,0.94750976562500000000000000000000000000000000000000,1.0553980932749291419737181138881731512496779180624,0.00015181304448614357460003149847119505897411199103581,1.1450476216076029421965122314375842755639833825869,-2.7854014554910479597702263656120192269238096980918,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,3998,12,4096,98,0.023925781250000000000000000000000000000000000000000,0.97607421875000000000000000000000000000000000000000,1.0245122561280640320160080040020010005002501250625,0.00020294459096340770500457312509955227452363850274129,1.1114737449421743103892559485080108389908560654138,-3.1652241381231345208106168937599309947358711729186,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,4242,13,8192,3950,0.48217773437500000000000000000000000000000000000000,0.51782226562500000000000000000000000000000000000000,1.9311645450259311645450259311645450259311645450259,0.00022604504288426890708232675314251227784175773148934,1.0474260990058198766581940061527462857506163026509,-4.3981749841532538028741353869001893259565933516657,false,true,false,true,false,renyi_requirement_failed
