scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,0,2,1000,32084,32.084000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,0,2,1000,24246,24.246000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,0,2,1000,75976,75.976000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,0,0,0,0,0,3686691975662134090,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,8,0,2,1000,63194,63.194000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,125,1000,0,0,1111,111,1,3686691975662134090,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,1,2,1000,32012,32.012000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,1,2,1000,23354,23.354000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,1,2,1000,75372,75.372000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,0,0,0,0,0,12756975815887010754,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,8,1,2,1000,62702,62.702000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,125,1000,0,0,1111,111,1,12756975815887010754,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,0,2,1000,86948,86.948000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,0,2,1000,105518,105.518000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,0,2,1000,114456,114.456000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,14182699557661808669,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,8,0,2,1000,70216,70.216000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,1000,0,0,0,0,14182699557661808669,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,1,2,1000,87238,87.238000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,1,2,1000,101776,101.776000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,1000,0,0,0,0,4541964646831120921,available,
