scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,1,2,1000,32254,32.254000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,1,2,1000,24594,24.594000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,0,2,1000,86874,86.874000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,0,2,1000,148770,148.770000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,1,2,1000,139910,139.910000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,1,2,1000,100384,100.384000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,0,2,1000,32084,32.084000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,0,2,1000,24246,24.246000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,1,2,1000,32012,32.012000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,1,2,1000,23354,23.354000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,0,2,1000,86948,86.948000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,0,2,1000,105518,105.518000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,1,2,1000,87238,87.238000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,1,2,1000,101776,101.776000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,0,2,1000,30232,30.232000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,0,2,1000,23556,23.556000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,1,2,1000,47976,47.976000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,1,2,1000,32800,32.800000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,0,2,1000,152416,152.416000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,0,2,1000,176064,176.064000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,1,2,1000,141274,141.274000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,1,2,1000,173524,173.524000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,0,2,1000,44604,44.604000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,0,2,1000,34716,34.716000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,1,2,1000,45374,45.374000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,1,2,1000,35298,35.298000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,125,1000,0,0,0,0,1,5508103314724780671,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,0,2,1000,192024,192.024000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,0,0,0,0,0,0,0,14871458625579973005,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,4,0,2,1000,276530,276.530000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,0,0,1000,0,0,0,0,14871458625579973005,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,1,2,1000,229884,229.884000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,0,0,0,0,0,0,0,14871458625579973005,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,4,1,2,1000,216772,216.772000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,0,0,1000,0,0,0,0,14871458625579973005,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,0,2,1000,126160,126.160000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,0,0,0,0,0,0,0,2305614652651945825,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,4,0,2,1000,76404,76.404000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,250,1000,0,0,0,0,1,2305614652651945825,available,
