scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetitions,samples_per_repetition,median_cycles_per_sample,MAD,p10,p90,min,max,mean,standard_deviation,timer_overhead,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,status,reason
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,2,1000,102.013000,0.617000,101.519400,102.506600,101.396000,102.630000,102.013000,0.617000,66,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,2000,0,0,0,0,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,2,1000,24.867000,0.119000,24.771800,24.962200,24.748000,24.986000,24.867000,0.119000,66,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,250,2000,0,0,0,0,1,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,2,1000,89.294000,0.322000,89.036400,89.551600,88.972000,89.616000,89.294000,0.322000,66,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,2,1000,32.707000,0.193000,32.552600,32.861400,32.514000,32.900000,32.707000,0.193000,66,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,2,1000,115.167000,12.179000,105.423800,124.910200,102.988000,127.346000,115.167000,12.179000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,2000,0,0,0,0,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,2,1000,30.262000,5.668000,25.727600,34.796400,24.594000,35.930000,30.262000,5.668000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,250,2000,0,0,0,0,1,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,2,1000,96.373000,4.985000,92.385000,100.361000,91.388000,101.358000,96.373000,4.985000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,0,0,0,0,0,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,2,1000,73.823000,41.569000,40.567800,107.078200,32.254000,115.392000,73.823000,41.569000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,0,0,0,0,0,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,2,1000,124.577000,24.193000,105.222600,143.931400,100.384000,148.770000,124.577000,24.193000,66,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,2000,0,0,0,0,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,2,1000,23.800000,0.446000,23.443200,24.156800,23.354000,24.246000,23.800000,0.446000,66,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,250,2000,0,0,0,0,1,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,2,1000,113.392000,26.518000,92.177600,134.606400,86.874000,139.910000,113.392000,26.518000,66,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,2,1000,32.048000,0.036000,32.019200,32.076800,32.012000,32.084000,32.048000,0.036000,66,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,available,
