scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetitions,samples_per_repetition,median_cycles_per_sample,MAD,p10,p90,min,max,mean,standard_deviation,timer_overhead,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,status,reason
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,2,1000,100.194000,0.952000,99.432400,100.955600,99.242000,101.146000,100.194000,0.952000,66,1.130500000,0.130500000,0.884585289,0.887084961,15.827000000,2.261000000,22,168,0,0,2000,0,2261,261,0,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,8,2,1000,77.363000,12.531000,67.338200,87.387800,64.832000,89.894000,77.363000,12.531000,66,1.130500000,0.130500000,0.884585289,0.887084961,15.827000000,2.261000000,22,168,250,2000,0,0,2261,261,1,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,2,1000,94.895000,0.131000,94.790200,94.999800,94.764000,95.026000,94.895000,0.131000,66,1.130500000,0.130500000,0.884585289,0.887084961,15.827000000,2.261000000,22,168,0,0,0,0,0,0,0,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,2,1000,78.912000,0.664000,78.380800,79.443200,78.248000,79.576000,78.912000,0.664000,66,1.130500000,0.130500000,0.884585289,0.887084961,15.827000000,2.261000000,22,168,0,0,0,0,0,0,0,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,8,2,1000,81.164000,0.068000,81.109600,81.218400,81.096000,81.232000,81.164000,0.068000,66,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,22,165,0,0,2000,0,0,0,0,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,2,1000,44.293000,0.929000,43.549800,45.036200,43.364000,45.222000,44.293000,0.929000,66,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,22,165,250,2000,0,0,0,0,1,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,2,1000,76.626000,0.052000,76.584400,76.667600,76.574000,76.678000,76.626000,0.052000,66,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,22,165,0,0,0,0,0,0,0,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,2,1000,74.608000,9.542000,66.974400,82.241600,65.066000,84.150000,74.608000,9.542000,66,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,22,165,0,0,0,0,0,0,0,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,2,1000,95.707000,0.547000,95.269400,96.144600,95.160000,96.254000,95.707000,0.547000,66,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,2000,0,2222,222,0,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,8,2,1000,62.948000,0.246000,62.751200,63.144800,62.702000,63.194000,62.948000,0.246000,66,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,250,2000,0,0,2222,222,1,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,2,1000,89.920000,0.090000,89.848000,89.992000,89.830000,90.010000,89.920000,0.090000,66,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,0,0,0,0,0,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,2,1000,75.674000,0.302000,75.432400,75.915600,75.372000,75.976000,75.674000,0.302000,66,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,0,0,0,0,0,available,
