scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,0,2,1000,45222,45.222000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,22,165,125,1000,0,0,0,0,1,15635158759902442351,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,1,2,1000,65066,65.066000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,22,165,0,0,0,0,0,0,0,15793793853427494313,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,1,2,1000,43364,43.364000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,22,165,125,1000,0,0,0,0,1,15793793853427494313,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,0,2,1000,89830,89.830000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,0,0,0,0,0,10278239532260937458,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,0,2,1000,96254,96.254000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,1000,0,1111,111,0,10278239532260937458,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,1,2,1000,90010,90.010000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,0,0,0,0,0,16299685688630562197,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,1,2,1000,95160,95.160000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,1000,0,1111,111,0,16299685688630562197,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,0,2,1000,75976,75.976000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,0,0,0,0,0,3686691975662134090,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,8,0,2,1000,63194,63.194000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,125,1000,0,0,1111,111,1,3686691975662134090,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,1,2,1000,75372,75.372000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,0,0,0,0,0,0,0,12756975815887010754,available,
Frodo,frodo976,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,8,1,2,1000,62702,62.702000,66,1111,111,14443,2222,1.111000000,0.111000000,0.900090009,0.908447266,14.443000000,2.222000000,18,130,125,1000,0,0,1111,111,1,12756975815887010754,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,0,2,1000,114456,114.456000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,14182699557661808669,available,
