parameter_set,baseline_table_id,q,sd_support,sd_infinite,renyi_support,renyi_infinite,valid
frodo640,original-frodo-cdt,32768,2.59508948065724944e-3,2.59508948065724944e-3,1.03212855708300208e0,1.03212855708300208e0,true
frodo976,original-frodo-cdt,32768,3.82586053744893479e-3,3.82586053744893479e-3,1.10013373469870277e0,1.10013373469870277e0,true
frodo1344,original-frodo-cdt,32768,1.05252623192632030e-2,1.05252623192632030e-2,1.25348986994750729e0,1.25348986994750729e0,true
