parameter_set,q,draw_bits,threshold_bits,power2_ceiling,absolute_power2_gap,relative_power2_gap,acceptance_ratio,expected_attempts,expected_raw_bits,sd_support,sd_infinite,renyi_support,renyi_infinite,baseline_sd_support_ratio,baseline_sd_infinite_ratio,baseline_renyi_support_ratio,baseline_renyi_infinite_ratio,pointwise_error,selected
frodo640,749892,20,20,1048576,298684,2.84847259521484375e-1,7.15152740478515625e-1,1.39830268892053789e0,2.79660537784107578e1,8.27937016345003159e-7,8.02518690523715016e-6,1.00000005749245013e0,1.00000005749245013e0,7.80442966315853838e-2,7.80442966315853838e-2,9.99783147485184481e-1,9.99783147485184481e-1,2.30290504584215874e-7,true
frodo976,115956,17,17,131072,15116,1.15325927734375000e-1,8.84674072265625000e-1,1.13035979164510676e0,1.92161164579668150e1,4.18512979957754178e-6,8.39829124181517090e-6,1.00000140134818760e0,1.00000140134818760e0,8.21701985688930480e-2,8.21701985688930480e-2,9.99926442203236879e-1,9.99926442203236879e-1,1.39337918850653300e-6,true
frodo1344,1046,11,11,2048,1002,4.89257812500000000e-1,5.10742187500000000e-1,1.95793499043977055e0,2.15372848948374761e1,2.07166692422687303e-4,2.09337456352063766e-4,1.00010185665578588e0,1.00010185665578588e0,1.00029798788104022e-1,1.00029798788104022e-1,9.88723435510909405e-1,9.88723435510909405e-1,1.18968934451854829e-4,true
