parameter_set,q,q_bitlength,max_scaled_error,max_absolute_error,sd_infinite,renyi_main,log2_renyi_main_minus_one
frodo640,749892,20,1.72693007063666810e-1,2.30290504584215874e-7,8.02518690523715016e-6,1.00000005749245013e0,-2.40520522443393449e1
frodo976,115956,17,1.61570677182463540e-1,1.39337918850653300e-6,8.39829124181517090e-6,1.00000140134818760e0,-1.94447531081203367e1
frodo1344,1046,11,1.24441505436640152e-1,1.18968934451854829e-4,2.09337456352063766e-4,1.00010185665578588e0,-1.32611721237862323e1
